scenario,baseline,dGWP_kg_per_kg,dMSP_usd_per_kg,MAC_usd_per_tCO2e
IL_A,FA_A,-0.057150269439014634,0.006983503772812574,
IL_A,LC3_A,-0.06061061634334958,0.00747973761522247,
IL_B,FA_B,-0.057150269439014634,0.006983503772812565,
IL_B,LC3_B,-0.06061061634334958,0.00747973761522247,
FA_A,IL_A,0.057150269439014634,-0.006983503772812574,-122.1954654170915
FA_A,LC3_A,-0.0034603469043349433,0.0004962338424098966,
FA_B,IL_B,0.057150269439014634,-0.006983503772812565,-122.19546541709136
FA_B,LC3_B,-0.0034603469043349433,0.0004962338424099055,
BC_A,IL_A,0.044602121692937285,0.007030537354097461,157.62786807540462
BC_A,FA_A,-0.012548147746077348,0.014014041126910036,
BC_A,LC3_A,-0.01600849465041229,0.014510274969319932,
BC_B,IL_B,0.06458726120414199,-0.004987523191311584,-77.22146903779431
BC_B,FA_B,0.007436991765127354,0.0019959805815009802,268.38547688869204
BC_B,LC3_B,0.003976644860792411,0.0024922144239108855,626.7128474264285
LC3_A,IL_A,0.06061061634334958,-0.00747973761522247,-123.40639423382427
LC3_A,FA_A,0.0034603469043349433,-0.0004962338424098966,-143.40580760508163
LC3_B,IL_B,0.06061061634334958,-0.00747973761522247,-123.40639423382427
LC3_B,FA_B,0.0034603469043349433,-0.0004962338424099055,-143.40580760508416
